1.8213	1.7536
1.7912	1.5891
1.9096	1.7743
1.4608	1.7787
1.8757	1.7998
1.8895	1.885
1.5918	1.4318
1.9425	1.7688
1.7126	1.6693
1.5105	1.7477
1.5313	1.6151
1.6829	1.8145
1.7588	1.5518
1.9026	1.7241
1.9032	1.5689
1.6083	1.6241
1.6961	1.5979
1.5847	1.4226
1.5601	1.7522
1.6861	1.699
1.6948	1.7411
1.6448	1.6319
1.7761	1.6674
1.7398	1.6001
1.6691	1.8131
1.5942	1.7374
1.6793	1.7106
1.6634	1.4603
1.6913	1.8942
1.7947	1.6729
1.6524	1.7511
1.6601	1.6539
1.7172	1.8767
1.5824	1.7931
1.5579	1.838
1.4949	1.692
1.7175	1.6669
1.6836	1.5309
1.5636	1.6181
1.7577	1.6467
1.9099	1.7375
1.5678	1.6632
1.6252	1.7329
1.6813	1.6851
1.6146	1.7119
1.5223	1.7965
1.5379	1.6373
1.6491	1.751
1.6757	1.9373
1.9209	1.7983
1.7219	1.619
1.6765	1.5443
1.6613	1.6611
1.8377	1.8142
1.7184	1.6834
1.7208	1.8158
1.8408	1.7609
1.8222	1.8049
1.7821	1.8452
1.8737	1.7255
1.6692	1.7483
1.8396	1.872
1.6394	1.834
1.6876	1.678
1.7804	1.8365
1.3145	2.1253
1.3924	2.6383
1.3125	2.8944
1.4504	2.6988
1.3823	2.1842
1.4546	2.1518
1.1049	2.3487
1.0767	2.6396
1.2584	2.1766
1.1667	2.2534
1.2893	1.8964
1.1958	2.1522
1.3494	2.6496
1.3221	2.4746
1.1048	2.507
1.1686	2.4336
1.2509	2.2104
1.3587	2.5599
1.2474	2.723
1.5367	2.223
1.2961	2.2223
1.4126	2.625
1.2224	2.3602
1.1387	2.7315
1.2627	2.4625
1.1112	2.5782
1.3935	2.5724
1.0866	2.5617
1.0846	2.5371
1.0946	2.6798
1.4713	2.888
1.5075	2.3105
1.3664	2.7278
1.1389	2.5504
1.4144	2.178
2.1237	1.5556
2.2988	1.5049
2.0524	1.4964
2.1544	1.5504
2.2691	1.2368
2.0874	1.416
2.1266	1.5271
2.4112	1.5187
2.4462	1.4211
2.2707	1.5742
2.2264	1.4151
2.2026	1.2629
2.2503	1.1623
2.3346	1.4205
2.2924	0.9505
2.2055	1.4498
2.3683	1.4358
2.2931	1.0793
2.3628	1.3738
2.3898	1.5198
2.2841	1.4651
2.238	1.3355
2.2293	1.2093
2.3432	1.647
2.193	1.2997
2.4337	1.4079
2.0851	1.0598
2.1088	1.2473
2.0626	1.4863
2.2179	1.406
2.2416	1.5956
2.3034	1.5636
2.4299	1.3537
2.3279	1.4256
2.1521	1.3523
2.2834	1.1953
2.4734	1.1737
2.1685	1.1661
2.4371	1.2639
2.1987	1.5626
2.0667	1.5345
2.3257	1.2281
2.1608	1.6459
2.1129	1.2784
2.4491	1.4434
2.2309	1.2336
2.3531	1.0362
2.2209	1.8031
2.2867	1.7258
2.3255	1.4347
2.4308	1.3643
2.2035	1.6864
2.1839	1.5615
2.2055	1.5487
2.4569	1.234
2.3986	1.6066
2.1854	1.4724
2.2932	1.1545
2.2491	1.3679
2.1995	1.0092
2.0272	2.2493
1.9573	2.4079
2.0689	1.992
2.165	2.436
2.1572	2.2702
2.1464	2.2717
2.2691	2.2728
2.252	2.3135
2.1678	2.285
2.0173	2.132
2.1482	2.2943
2.0292	2.3515
2.1648	2.0915
2.2055	2.0866
2.2018	2.3124
2.081	2.2794
2.0693	2.2526
2.2066	2.3989
2.2541	2.0195
2.1885	2.3533
2.1489	2.3573
2.2546	2.4132
2.3163	2.3698
1.9266	2.1262
2.2425	2.1281
2.0681	2.3358
2.1527	2.383
1.969	2.3099
1.9294	2.0697
2.1897	2.2325
1.9974	2.2134
2.0714	2.138
2.1836	2.0638
2.1923	2.0969
2.2214	2.2929
2.2524	2.1635
2.2418	2.1159
2.2715	2.0846
2.1884	2.1583
2.0456	2.269
2.1045	2.3713
2.1355	2.3767
2.0858	2.2586
2.2038	2.3895
2.2338	2.214
